"Laps","Time","Cumulative Time","Distancekm","Avg Pacemin/km","Avg GAPmin/km","Avg HRbpm","Max HRbpm","Total Ascentm","Total Descentm","Avg PowerW","Avg W/kg","Max PowerW","Max W/kg","Avg Run Cadencespm","Avg Ground Contact Timems","Avg GCT Balance%","Avg Stride Lengthm","Avg Vertical Oscillationcm","Avg Vertical Ratio%","CaloriesC","Avg Temperature","Best Pacemin/km","Max Run Cadencespm","Moving Time","Avg Moving Pacemin/km","Avg Step Speed Losscm/s","Avg Step Speed Loss Percent%"
"1","6:54.7","6:54.7","1.00","6:55","6:46","123","134","14","9","268","No Weight","377","No Weight","173","273","","0.83","7.8","9.4","75","18.0","5:45","179","6:54.7","6:55","",""
"2","6:46.8","13:41","1.00","6:47","6:43","127","137","13","18","264","No Weight","343","No Weight","171","273","","0.87","8.1","9.3","74","15.0","6:17","177","6:46.8","6:47","",""
"3","6:56.7","20:38","1.00","6:57","6:47","131","137","13","2","267","No Weight","322","No Weight","169","279","","0.85","8.1","9.5","77","13.0","6:37","173","6:56.7","6:57","",""
"4","7:06.2","27:44","1.00","7:06","7:03","129","137","7","1","250","No Weight","280","No Weight","168","281","","0.84","8.1","9.6","73","13.0","6:51","172","7:06","7:06","",""
"5","6:55.1","34:40","1.00","6:55","6:54","130","133","5","4","252","No Weight","278","No Weight","169","279","","0.85","8.1","9.5","72","12.0","6:43","174","6:55","6:55","",""
"6","7:01.9","41:41","1.00","7:02","7:08","128","132","3","12","244","No Weight","315","No Weight","168","280","","0.85","8.1","9.6","69","11.0","6:49","174","7:01.9","7:02","",""
"7","7:04.4","48:46","1.00","7:04","7:06","129","135","5","5","253","No Weight","309","No Weight","168","281","","0.84","8.1","9.6","71","11.0","6:46","174","7:04","7:04","",""
"8","7:16.1","56:02","1.00","7:16","7:18","129","134","10","12","253","No Weight","326","No Weight","168","284","","0.82","8.0","9.8","70","10.0","6:51","172","7:16","7:16","",""
"9","7:18.2","1:03:20","1.00","7:18","7:07","130","135","11","14","260","No Weight","344","No Weight","167","284","","0.83","8.1","9.8","73","10.0","6:16","172","7:18.2","7:18","",""
"10","7:26.9","1:10:47","1.00","7:27","7:16","129","134","15","19","252","No Weight","381","No Weight","167","285","","0.82","8.1","9.8","71","10.0","6:31","172","7:26.9","7:27","",""
